id,name,mw_exact,sf,+H,+Na,+K
SLM:000055384,LPC(O-17:0),495.673096,C25H54NO6P,496.3761519,518.35809615,534.33203336
SLM:000055385,LPC(O-17:1),493.657196,C25H52NO6P,494.36050184,516.34244608,532.31638329
SLM:000055386,LPC(O-18:0),509.699707,C26H56NO6P,510.39180196,532.37374621,548.34768342
SLM:000055387,LPC(O-18:1),507.683807,C26H54NO6P,508.3761519,530.35809615,546.33203336
SLM:000055388,LPC(O-18:2),505.667908,C26H52NO6P,506.36050184,528.34244608,544.31638329
SLM:000055389,LPC(O-18:3),503.652100,C26H50NO6P,504.34485177,526.32679602,542.30073323
SLM:000055390,LPC(O-20:0),537.752930,C28H60NO6P,538.42310209,560.40504634,576.37898355
SLM:000055391,LPC(O-20:1),535.737000,C28H58NO6P,536.40745203,558.38939628,574.36333349
SLM:000055392,LPC(O-20:2),533.721130,C28H56NO6P,534.39180196,556.37374621,572.34768342
SLM:000055393,LPC(O-22:0),565.806030,C30H64NO6P,566.45440222,588.43634647,604.41028368
SLM:000055394,LPC(O-22:1),563.790100,C30H62NO6P,564.43875216,586.4206964,602.39463361
SLM:000055395,LPC(O-22:2),561.774292,C30H60NO6P,562.42310209,584.40504634,600.37898355
SLM:000055396,LPC(O-24:0),593.859192,C32H68NO6P,594.48570235,616.4676466,632.44158381
SLM:000055397,LPC(O-24:1),591.843323,C32H66NO6P,592.47005228,614.45199653,630.42593374
SLM:000055398,LPC(O-26:0),621.912292,C34H72NO6P,622.51700248,644.49894672,660.47288393
SLM:000055399,LPC(O-26:1),619.896484,C34H70NO6P,620.50135241,642.48329666,658.45723387
SLM:000055400,LPC(O-28:0),649.965515,C36H76NO6P,650.5483026,672.53024685,688.50418406
SLM:000055401,LPC(O-28:1),647.949585,C36H74NO6P,648.53265254,670.51459679,686.488534
SLM:000055402,LPC(O-30:0),678.018677,C38H80NO6P,678.57960273,700.56154698,716.53548419
SLM:000055403,LPC(O-30:1),676.002808,C38H78NO6P,676.56395267,698.54589692,714.51983413
SLM:000055404,LPE(10:0),369.390808,C15H32NO7P,370.19891582,392.18086006,408.15479727
SLM:000055405,LPE(12:0),397.444000,C17H36NO7P,398.23021594,420.21216019,436.1860974
SLM:000055406,LPE(13:0),411.470612,C18H38NO7P,412.24586601,434.22781026,450.20174747
SLM:000055407,LPE(14:0),425.497192,C19H40NO7P,426.26151607,448.24346032,464.21739753
SLM:000055408,LPE(14:1),423.481293,C19H38NO7P,424.24586601,446.22781026,462.20174747
SLM:000055409,LPE(15:0),439.523712,C20H42NO7P,440.27716614,462.25911038,478.23304759
SLM:000055410,LPE(16:0),453.550293,C21H44NO7P,454.2928162,476.27476045,492.24869766
SLM:000055411,LPE(16:1),451.534393,C21H42NO7P,452.27716614,474.25911038,490.23304759
SLM:000055412,LPE(16:2),449.518585,C21H40NO7P,450.26151607,472.24346032,488.21739753
SLM:000055413,LPE(17:0),467.576904,C22H46NO7P,468.30846626,490.29041051,506.26434772
SLM:000055414,LPE(18:0),481.603485,C23H48NO7P,482.32411633,504.30606058,520.27999779
SLM:000055415,LPE(18:1),479.587585,C23H46NO7P,480.30846626,502.29041051,518.26434772
SLM:000055416,LPE(18:2),477.571686,C23H44NO7P,478.2928162,500.27476045,516.24869766
SLM:000055417,LPE(18:3),475.555786,C23H42NO7P,476.27716614,498.25911038,514.23304759
SLM:000055418,LPE(18:4),473.540009,C23H40NO7P,474.26151607,496.24346032,512.21739753
SLM:000055419,LPE(19:0),495.630096,C24H50NO7P,496.33976639,518.32171064,534.29564785
SLM:000055420,LPE(20:0),509.656586,C25H52NO7P,510.35541646,532.3373607,548.31129791
SLM:000055421,LPE(20:1),507.640808,C25H50NO7P,508.33976639,530.32171064,546.29564785
SLM:000055422,LPE(20:2),505.624908,C25H48NO7P,506.32411633,528.30606058,544.27999779
SLM:000055423,LPE(20:3),503.609009,C25H46NO7P,504.30846626,526.29041051,542.26434772
SLM:000055424,LPE(20:4),501.593109,C25H44NO7P,502.2928162,524.27476045,540.24869766
